"id" "day" "beep" "obs" "StressEvents" "Valence"
3 4 7 37 0 5
3 4 8 38 0 5
3 4 9 39 0 5
3 4 10 40 1 5
3 5 1 41 0 6
3 5 2 42 0 5
3 5 3 43 0 5
3 5 4 44 0 6
3 5 5 45 0 4
3 5 6 46 0 5
3 5 7 47 0 7
3 5 8 48 1 5
3 5 9 49 0 6
3 5 10 50 0 4
3 6 1 51 0 5
3 6 2 52 0 5
3 6 3 53 0 5
3 6 4 54 0 4
3 6 5 55 1 5
3 6 6 56 0 4
3 6 7 57 0 5
3 6 8 58 0 6
3 6 9 59 1 3
3 6 10 60 0 6
3 7 1 61 0 4
3 7 2 62 0 5
3 7 3 63 0 5
3 7 4 64 0 5
3 7 5 65 0 5
3 7 6 66 0 5
3 7 7 67 0 5
3 7 8 68 0 6
3 7 9 69 1 4
3 7 10 70 1 4
4 1 1 1 2 6
4 1 2 2 0 6
4 1 3 3 1 5
4 1 4 4 0 6
4 1 5 5 0 6
4 1 6 6 0 3
4 1 7 7 0 6
4 1 8 8 0 5
4 1 9 9 0 5
4 1 10 10 1 5
4 2 1 11 0 6
4 2 2 12 0 5
4 2 3 13 0 5
4 2 4 14 0 5
4 2 5 15 0 4
4 2 6 16 0 6
4 2 7 17 1 6
4 2 8 18 2 6
4 2 9 19 0 5
4 2 10 20 0 6
4 3 1 21 2 6
4 3 2 22 0 5
4 3 3 23 1 4
4 3 4 24 0 5
4 3 5 25 2 5
4 3 6 26 0 5
4 3 7 27 1 6
4 3 8 28 0 5
4 3 9 29 0 5
4 3 10 30 1 5
4 4 1 31 2 5
4 4 2 32 0 5
4 4 3 33 0 6
4 4 4 34 1 5
4 4 5 35 0 5
4 4 6 36 1 6
4 4 7 37 0 6
4 4 8 38 0 5
4 4 9 39 0 6
4 4 10 40 0 5
4 5 1 41 1 5
4 5 2 42 0 6
4 5 3 43 1 6
4 5 4 44 0 4
4 5 5 45 0 4
4 5 6 46 0 4
4 5 7 47 0 5
4 5 8 48 0 5
4 5 9 49 0 5
4 5 10 50 2 5
4 6 1 51 0 5
4 6 2 52 0 4
4 6 3 53 0 6
4 6 4 54 2 6
4 6 5 55 2 4
4 6 6 56 0 5
4 6 7 57 2 4
4 6 8 58 1 4
4 6 9 59 0 5
4 6 10 60 0 5
4 7 1 61 1 5
4 7 2 62 0 5
4 7 3 63 0 6
4 7 4 64 1 5
4 7 5 65 0 5
4 7 6 66 1 4
4 7 7 67 1 5
4 7 8 68 1 5
4 7 9 69 0 4
4 7 10 70 0 5
5 1 1 1 1 6
5 1 2 2 0 5
5 1 3 3 0 5
5 1 4 4 0 5
5 1 5 5 0 6
5 1 6 6 1 5
5 1 7 7 0 6
5 1 8 8 0 5
5 1 9 9 0 5
5 1 10 10 0 5
5 2 1 11 0 5
5 2 2 12 0 5
5 2 3 13 0 4
5 2 4 14 0 5
5 2 5 15 0 6
5 2 6 16 1 6
5 2 7 17 0 6
5 2 8 18 0 5
5 2 9 19 0 5
5 2 10 20 0 5
5 3 1 21 0 5
5 3 2 22 1 5
5 3 3 23 0 5
5 3 4 24 0 4
5 3 5 25 0 6
5 3 6 26 1 6
5 3 7 27 0 4
5 3 8 28 0 5
5 3 9 29 0 7
5 3 10 30 0 5
5 4 1 31 0 6
5 4 2 32 1 4
5 4 3 33 0 6
5 4 4 34 0 5
5 4 5 35 0 6
5 4 6 36 0 4
5 4 7 37 0 5
5 4 8 38 1 5
5 4 9 39 1 5
5 4 10 40 1 5
5 5 1 41 0 4
5 5 2 42 0 5
5 5 3 43 0 4
5 5 4 44 0 6
5 5 5 45 2 4
5 5 6 46 1 5
5 5 7 47 0 5
5 5 8 48 0 5
5 5 9 49 0 5
5 5 10 50 0 5
5 6 1 51 0 6
5 6 2 52 0 4
5 6 3 53 0 4
5 6 4 54 0 5
5 6 5 55 0 5
5 6 6 56 0 6
5 6 7 57 0 5
5 6 8 58 0 5
5 6 9 59 3 4
5 6 10 60 0 5
5 7 1 61 1 5
5 7 2 62 0 5
5 7 3 63 1 4
5 7 4 64 2 5
5 7 5 65 0 4
5 7 6 66 0 5
5 7 7 67 0 5
5 7 8 68 2 4
5 7 9 69 0 5
5 7 10 70 0 4
6 1 1 1 0 3
6 1 2 2 0 5
6 1 3 3 0 6
6 1 4 4 0 5
6 1 5 5 0 5
6 1 6 6 1 4
6 1 7 7 1 5
6 1 8 8 0 4
6 1 9 9 0 6
6 1 10 10 0 6
6 2 1 11 0 6
6 2 2 12 0 5
6 2 3 13 0 5
6 2 4 14 1 4
6 2 5 15 0 6
6 2 6 16 0 5
6 2 7 17 0 5
6 2 8 18 0 4
6 2 9 19 1 5
6 2 10 20 2 4
6 3 1 21 0 5
6 3 2 22 1 4
6 3 3 23 0 6
6 3 4 24 0 5
6 3 5 25 0 6
6 3 6 26 0 3
6 3 7 27 0 5
6 3 8 28 0 5
6 3 9 29 0 4
6 3 10 30 1 6
6 4 1 31 1 4
6 4 2 32 0 5
6 4 3 33 0 6
6 4 4 34 0 5
6 4 5 35 1 4
6 4 6 36 0 6
6 4 7 37 1 5
6 4 8 38 0 4
6 4 9 39 1 4
6 4 10 40 0 6
6 5 1 41 1 5
6 5 2 42 0 4
6 5 3 43 0 5
6 5 4 44 1 5
6 5 5 45 0 4
6 5 6 46 1 4
6 5 7 47 1 5
6 5 8 48 0 6
6 5 9 49 1 5
6 5 10 50 0 5
6 6 1 51 0 4
6 6 2 52 1 5
6 6 3 53 0 5
6 6 4 54 0 5
6 6 5 55 1 5
6 6 6 56 0 6
6 6 7 57 0 4
6 6 8 58 0 5
6 6 9 59 0 6
6 6 10 60 0 6
6 7 1 61 0 4
6 7 2 62 0 5
6 7 3 63 0 5
6 7 4 64 1 4
6 7 5 65 0 5
6 7 6 66 0 4
6 7 7 67 0 6
6 7 8 68 0 5
6 7 9 69 0 6
6 7 10 70 0 5
7 1 1 1 0 6
7 1 2 2 0 6
7 1 3 3 0 6
7 1 4 4 0 5
7 1 5 5 1 3
7 1 6 6 1 5
7 1 7 7 0 5
7 1 8 8 1 5
7 1 9 9 0 5
7 1 10 10 0 6
7 2 1 11 0 5
7 2 2 12 1 5
7 2 3 13 1 5
7 2 4 14 0 5
7 2 5 15 0 5
7 2 6 16 0 4
7 2 7 17 3 4
7 2 8 18 0 4
7 2 9 19 0 4
7 2 10 20 0 5
7 3 1 21 1 5
7 3 2 22 1 6
7 3 3 23 0 4
7 3 4 24 0 4
7 3 5 25 0 4
7 3 6 26 0 5
7 3 7 27 0 5
7 3 8 28 1 5
7 3 9 29 0 5
7 3 10 30 0 4
7 4 1 31 3 5
7 4 2 32 0 6
7 4 3 33 0 6
7 4 4 34 0 4
7 4 5 35 1 4
7 4 6 36 0 7
7 4 7 37 0 5
7 4 8 38 1 5
7 4 9 39 0 5
7 4 10 40 1 4
7 5 1 41 1 4
7 5 2 42 0 4
7 5 3 43 1 5
7 5 4 44 1 5
7 5 5 45 1 4
7 5 6 46 1 5
7 5 7 47 0 5
7 5 8 48 1 4
7 5 9 49 0 5
7 5 10 50 1 6
7 6 1 51 0 6
7 6 2 52 0 5
7 6 3 53 2 5
7 6 4 54 0 5
7 6 5 55 0 6
7 6 6 56 1 6
7 6 7 57 1 6
7 6 8 58 0 5
7 6 9 59 0 5
7 6 10 60 1 5
7 7 1 61 0 4
7 7 2 62 0 4
7 7 3 63 0 5
7 7 4 64 1 4
7 7 5 65 0 5
7 7 6 66 0 5
7 7 7 67 0 5
7 7 8 68 0 5
7 7 9 69 0 4
7 7 10 70 0 6
8 1 1 1 0 6
8 1 2 2 1 6
8 1 3 3 3 4
8 1 4 4 1 6
8 1 5 5 0 5
8 1 6 6 1 5
8 1 7 7 3 5
8 1 8 8 1 5
8 1 9 9 0 5
8 1 10 10 0 6
8 2 1 11 1 5
8 2 2 12 0 6
8 2 3 13 0 7
8 2 4 14 2 5
8 2 5 15 2 5
8 2 6 16 1 3
8 2 7 17 0 7
8 2 8 18 0 5
8 2 9 19 1 7
8 2 10 20 0 5
8 3 1 21 2 6
8 3 2 22 1 5
8 3 3 23 0 5
8 3 4 24 1 5
8 3 5 25 3 5
8 3 6 26 2 5
8 3 7 27 0 6
8 3 8 28 0 5
8 3 9 29 0 4
8 3 10 30 0 5
8 4 1 31 0 5
8 4 2 32 1 5
8 4 3 33 1 5
8 4 4 34 2 4
8 4 5 35 0 5
8 4 6 36 0 6
8 4 7 37 0 6
8 4 8 38 0 5
8 4 9 39 0 5
8 4 10 40 1 6
8 5 1 41 0 4
8 5 2 42 0 5
8 5 3 43 0 5
8 5 4 44 1 4
8 5 5 45 3 5
8 5 6 46 1 6
8 5 7 47 1 5
8 5 8 48 0 5
8 5 9 49 2 5
8 5 10 50 1 5
8 6 1 51 0 6
8 6 2 52 2 6
8 6 3 53 0 5
8 6 4 54 2 4
8 6 5 55 2 4
8 6 6 56 2 5
8 6 7 57 1 6
8 6 8 58 0 4
8 6 9 59 3 4
8 6 10 60 0 5
8 7 1 61 2 5
8 7 2 62 1 4
8 7 3 63 0 6
8 7 4 64 2 5
8 7 5 65 2 5
8 7 6 66 2 6
8 7 7 67 0 5
8 7 8 68 1 5
8 7 9 69 1 5
8 7 10 70 2 5
9 1 1 1 1 5
9 1 2 2 1 5
9 1 3 3 0 6
9 1 4 4 0 6
9 1 5 5 0 5
9 1 6 6 0 5
9 1 7 7 1 5
9 1 8 8 1 7
9 1 9 9 1 5
9 1 10 10 1 5
9 2 1 11 0 3
9 2 2 12 0 4
9 2 3 13 3 5
9 2 4 14 2 5
9 2 5 15 2 5
9 2 6 16 3 6
9 2 7 17 1 5
9 2 8 18 1 6
9 2 9 19 0 4
9 2 10 20 0 4
9 3 1 21 2 4
9 3 2 22 1 6
9 3 3 23 3 5
9 3 4 24 0 6
9 3 5 25 0 5
9 3 6 26 1 5
9 3 7 27 1 5
9 3 8 28 3 4
9 3 9 29 0 4
9 3 10 30 1 4
9 4 1 31 0 6
9 4 2 32 1 5
9 4 3 33 1 6
9 4 4 34 1 6
9 4 5 35 0 5
9 4 6 36 0 5
9 4 7 37 0 4
9 4 8 38 1 4
9 4 9 39 0 5
9 4 10 40 1 5
9 5 1 41 0 4
9 5 2 42 0 7
9 5 3 43 1 5
9 5 4 44 4 5
9 5 5 45 1 5
9 5 6 46 1 5
9 5 7 47 0 5
9 5 8 48 0 6
9 5 9 49 0 6
9 5 10 50 1 5
9 6 1 51 1 5
9 6 2 52 2 5
9 6 3 53 1 6
9 6 4 54 1 4
9 6 5 55 2 7
9 6 6 56 2 5
9 6 7 57 2 4
9 6 8 58 1 5
9 6 9 59 1 5
9 6 10 60 1 6
9 7 1 61 1 6
9 7 2 62 3 5
9 7 3 63 0 4
9 7 4 64 0 4
9 7 5 65 0 5
9 7 6 66 0 7
9 7 7 67 1 4
9 7 8 68 1 6
9 7 9 69 1 5
9 7 10 70 1 6
10 1 1 1 0 4
10 1 2 2 0 5
10 1 3 3 0 4
10 1 4 4 1 6
10 1 5 5 0 6
10 1 6 6 1 6
10 1 7 7 2 6
10 1 8 8 1 6
10 1 9 9 0 6
10 1 10 10 0 5
10 2 1 11 0 5
10 2 2 12 0 4
10 2 3 13 0 5
10 2 4 14 1 6
10 2 5 15 2 5
10 2 6 16 1 5
10 2 7 17 1 4
10 2 8 18 0 5
10 2 9 19 3 4
10 2 10 20 0 5
10 3 1 21 2 4
10 3 2 22 1 5
10 3 3 23 0 4
10 3 4 24 0 6
10 3 5 25 1 5
10 3 6 26 1 5
10 3 7 27 1 5
10 3 8 28 0 5
10 3 9 29 0 5
10 3 10 30 0 5
10 4 1 31 0 4
10 4 2 32 0 4
10 4 3 33 0 5
10 4 4 34 0 6
10 4 5 35 0 6
10 4 6 36 1 5
10 4 7 37 0 6
10 4 8 38 0 5
10 4 9 39 0 5
10 4 10 40 1 5
10 5 1 41 1 7
10 5 2 42 0 4
10 5 3 43 2 5
10 5 4 44 1 4
10 5 5 45 0 5
10 5 6 46 1 6
10 5 7 47 0 6
10 5 8 48 1 4
10 5 9 49 0 5
10 5 10 50 1 6
10 6 1 51 0 5
10 6 2 52 1 5
10 6 3 53 1 5
10 6 4 54 0 5
10 6 5 55 3 5
10 6 6 56 1 6
10 6 7 57 0 5
10 6 8 58 1 5
10 6 9 59 0 7
10 6 10 60 1 5
10 7 1 61 0 5
10 7 2 62 0 4
10 7 3 63 4 5
10 7 4 64 0 5
10 7 5 65 0 5
10 7 6 66 0 5
10 7 7 67 1 5
10 7 8 68 1 4
10 7 9 69 1 5
10 7 10 70 0 6
11 1 1 1 0 6
11 1 2 2 0 5
11 1 3 3 0 4
11 1 4 4 1 4
11 1 5 5 0 5
11 1 6 6 1 5
11 1 7 7 0 5
11 1 8 8 0 6
11 1 9 9 0 5
11 1 10 10 1 4
11 2 1 11 0 5
11 2 2 12 0 4
11 2 3 13 0 5
11 2 4 14 0 5
11 2 5 15 0 5
11 2 6 16 0 4
11 2 7 17 0 5
11 2 8 18 1 5
11 2 9 19 0 4
11 2 10 20 0 6
11 3 1 21 1 6
11 3 2 22 0 7
11 3 3 23 0 5
11 3 4 24 0 5
11 3 5 25 0 5
11 3 6 26 0 5
11 3 7 27 0 4
11 3 8 28 0 4
11 3 9 29 2 5
11 3 10 30 0 5
11 4 1 31 0 5
11 4 2 32 0 4
11 4 3 33 1 4
11 4 4 34 0 4
11 4 5 35 0 6
11 4 6 36 0 4
11 4 7 37 1 4
11 4 8 38 1 5
11 4 9 39 0 5
11 4 10 40 0 5
11 5 1 41 0 7
11 5 2 42 0 4
11 5 3 43 0 5
11 5 4 44 0 5
11 5 5 45 0 6
11 5 6 46 0 4
11 5 7 47 0 5
11 5 8 48 1 6
11 5 9 49 0 4
11 5 10 50 0 6
11 6 1 51 0 5
11 6 2 52 0 4
11 6 3 53 0 5
11 6 4 54 0 5
11 6 5 55 0 5
11 6 6 56 0 5
11 6 7 57 0 6
11 6 8 58 0 4
11 6 9 59 0 5
11 6 10 60 0 5
11 7 1 61 0 4
11 7 2 62 0 4
11 7 3 63 0 5
11 7 4 64 0 5
11 7 5 65 1 3
11 7 6 66 1 6
11 7 7 67 0 5
11 7 8 68 0 7
11 7 9 69 1 5
11 7 10 70 0 5
12 1 1 1 0 7
12 1 2 2 0 7
12 1 3 3 0 4
12 1 4 4 1 5
12 1 5 5 0 5
12 1 6 6 1 5
12 1 7 7 1 5
12 1 8 8 0 4
12 1 9 9 0 5
12 1 10 10 0 6
12 2 1 11 0 5
12 2 2 12 0 5
12 2 3 13 0 6
12 2 4 14 0 6
12 2 5 15 0 4
12 2 6 16 0 5
12 2 7 17 0 6
12 2 8 18 0 6
12 2 9 19 0 5
12 2 10 20 0 6
12 3 1 21 1 4
12 3 2 22 0 5
12 3 3 23 0 4
12 3 4 24 0 5
12 3 5 25 1 6
12 3 6 26 0 4
12 3 7 27 0 5
12 3 8 28 0 5
12 3 9 29 0 5
12 3 10 30 1 6
12 4 1 31 1 4
12 4 2 32 1 5
12 4 3 33 0 5
12 4 4 34 0 5
12 4 5 35 0 5
12 4 6 36 2 4
12 4 7 37 1 4
12 4 8 38 1 5
12 4 9 39 1 6
12 4 10 40 0 5
12 5 1 41 0 5
12 5 2 42 1 5
12 5 3 43 0 5
12 5 4 44 1 4
12 5 5 45 0 6
12 5 6 46 0 5
12 5 7 47 0 4
12 5 8 48 1 5
12 5 9 49 1 6
12 5 10 50 0 5
12 6 1 51 0 6
12 6 2 52 0 5
12 6 3 53 0 6
12 6 4 54 0 6
12 6 5 55 3 5
12 6 6 56 0 4
12 6 7 57 1 4
12 6 8 58 0 5
12 6 9 59 0 5
12 6 10 60 1 6
12 7 1 61 0 5
12 7 2 62 1 5
12 7 3 63 0 4
12 7 4 64 0 5
12 7 5 65 0 5
12 7 6 66 2 5
12 7 7 67 1 5
12 7 8 68 1 5
12 7 9 69 0 5
12 7 10 70 1 4
13 1 1 1 1 6
13 1 2 2 0 5
13 1 3 3 0 5
13 1 4 4 0 4
13 1 5 5 1 5
13 1 6 6 1 4
13 1 7 7 1 4
13 1 8 8 0 6
13 1 9 9 0 5
13 1 10 10 1 4
13 2 1 11 0 6
13 2 2 12 1 3
13 2 3 13 0 5
13 2 4 14 0 6
13 2 5 15 0 5
13 2 6 16 0 5
13 2 7 17 0 5
13 2 8 18 0 6
13 2 9 19 1 5
13 2 10 20 0 5
13 3 1 21 1 6
13 3 2 22 0 6
13 3 3 23 0 4
13 3 4 24 0 4
13 3 5 25 0 5
13 3 6 26 1 5
13 3 7 27 0 4
13 3 8 28 1 5
13 3 9 29 0 4
13 3 10 30 1 5
13 4 1 31 1 5
13 4 2 32 0 6
13 4 3 33 1 7
13 4 4 34 0 4
13 4 5 35 0 6
13 4 6 36 0 6
13 4 7 37 0 5
13 4 8 38 0 5
13 4 9 39 0 6
13 4 10 40 1 4
13 5 1 41 0 5
13 5 2 42 0 4
13 5 3 43 0 6
13 5 4 44 0 5
13 5 5 45 0 5
13 5 6 46 1 7
13 5 7 47 1 5
13 5 8 48 1 5
13 5 9 49 2 5
13 5 10 50 0 4
13 6 1 51 0 5
13 6 2 52 0 5
13 6 3 53 1 5
13 6 4 54 0 4
13 6 5 55 0 4
13 6 6 56 1 5
13 6 7 57 0 4
13 6 8 58 0 6
13 6 9 59 2 6
13 6 10 60 0 5
13 7 1 61 0 5
13 7 2 62 2 5
13 7 3 63 0 5
13 7 4 64 0 5
13 7 5 65 0 5
13 7 6 66 0 4
13 7 7 67 1 4
13 7 8 68 1 6
13 7 9 69 0 5
13 7 10 70 0 5
14 1 1 1 0 5
14 1 2 2 0 4
14 1 3 3 0 5
14 1 4 4 0 5
14 1 5 5 1 6
14 1 6 6 1 5
14 1 7 7 0 5
14 1 8 8 1 5
14 1 9 9 1 4
14 1 10 10 1 4
14 2 1 11 0 5
14 2 2 12 0 5
14 2 3 13 1 5
14 2 4 14 0 5
14 2 5 15 1 5
14 2 6 16 1 4
14 2 7 17 1 5
14 2 8 18 1 6
14 2 9 19 1 4
14 2 10 20 0 6
14 3 1 21 1 5
14 3 2 22 0 6
14 3 3 23 0 4
14 3 4 24 0 5
14 3 5 25 0 5
14 3 6 26 2 6
14 3 7 27 0 5
14 3 8 28 0 5
14 3 9 29 0 4
14 3 10 30 0 4
14 4 1 31 1 5
14 4 2 32 0 5
14 4 3 33 1 5
14 4 4 34 0 5
14 4 5 35 1 5
14 4 6 36 2 6
14 4 7 37 0 4
14 4 8 38 0 5
14 4 9 39 0 6
14 4 10 40 0 3
14 5 1 41 0 5
14 5 2 42 0 6
14 5 3 43 1 7
14 5 4 44 0 5
14 5 5 45 0 4
14 5 6 46 0 5
14 5 7 47 0 5
14 5 8 48 0 6
14 5 9 49 1 4
14 5 10 50 0 5
14 6 1 51 0 5
14 6 2 52 0 4
14 6 3 53 1 6
14 6 4 54 0 4
14 6 5 55 0 5
14 6 6 56 0 6
14 6 7 57 1 4
14 6 8 58 0 6
14 6 9 59 0 5
14 6 10 60 0 5
14 7 1 61 0 5
14 7 2 62 1 5
14 7 3 63 2 5
14 7 4 64 0 4
14 7 5 65 0 5
14 7 6 66 1 6
14 7 7 67 4 3
14 7 8 68 0 4
14 7 9 69 1 4
14 7 10 70 4 4
15 1 1 1 1 5
15 1 2 2 1 4
15 1 3 3 2 3
15 1 4 4 4 5
15 1 5 5 2 5
15 1 6 6 2 6
15 1 7 7 0 4
15 1 8 8 1 6
15 1 9 9 1 5
15 1 10 10 2 5
15 2 1 11 1 4
15 2 2 12 2 6
15 2 3 13 0 5
15 2 4 14 4 4
15 2 5 15 0 5
15 2 6 16 2 4
15 2 7 17 1 5
15 2 8 18 1 5
15 2 9 19 2 5
15 2 10 20 1 6
15 3 1 21 1 4
15 3 2 22 1 6
15 3 3 23 0 6
15 3 4 24 3 4
15 3 5 25 0 5
15 3 6 26 1 5
15 3 7 27 0 5
15 3 8 28 5 5
15 3 9 29 2 6
15 3 10 30 1 5
15 4 1 31 2 6
15 4 2 32 0 5
15 4 3 33 0 5
15 4 4 34 4 5
15 4 5 35 0 6
15 4 6 36 0 4
15 4 7 37 1 4
15 4 8 38 3 5
15 4 9 39 4 5
15 4 10 40 2 5
15 5 1 41 4 6
15 5 2 42 1 6
15 5 3 43 1 5
15 5 4 44 2 5
15 5 5 45 0 5
15 5 6 46 2 6
15 5 7 47 4 5
15 5 8 48 2 6
15 5 9 49 3 5
15 5 10 50 0 6
15 6 1 51 0 6
15 6 2 52 1 5
15 6 3 53 0 5
15 6 4 54 0 5
15 6 5 55 2 5
15 6 6 56 1 5
15 6 7 57 1 5
15 6 8 58 2 6
15 6 9 59 0 5
15 6 10 60 1 5
15 7 1 61 1 5
15 7 2 62 1 5
15 7 3 63 4 5
15 7 4 64 1 3
15 7 5 65 1 4
15 7 6 66 0 5
15 7 7 67 2 5
15 7 8 68 2 4
15 7 9 69 0 4
15 7 10 70 1 5
16 1 1 1 0 5
16 1 2 2 0 6
16 1 3 3 0 5
16 1 4 4 0 6
16 1 5 5 0 5
16 1 6 6 1 5
16 1 7 7 0 5
16 1 8 8 1 4
16 1 9 9 0 5
16 1 10 10 0 6
16 2 1 11 0 4
16 2 2 12 0 5
16 2 3 13 0 4
16 2 4 14 0 5
16 2 5 15 0 5
16 2 6 16 0 5
16 2 7 17 0 4
16 2 8 18 0 5
16 2 9 19 1 4
16 2 10 20 0 5
16 3 1 21 0 6
16 3 2 22 0 5
16 3 3 23 0 6
16 3 4 24 0 4
16 3 5 25 1 5
16 3 6 26 0 5
16 3 7 27 0 5
16 3 8 28 0 4
16 3 9 29 0 6
16 3 10 30 1 5
16 4 1 31 0 5
16 4 2 32 0 4
16 4 3 33 0 6
16 4 4 34 0 7
16 4 5 35 0 5
16 4 6 36 0 6
16 4 7 37 0 6
16 4 8 38 0 5
16 4 9 39 0 5
16 4 10 40 0 4
16 5 1 41 0 4
16 5 2 42 0 5
16 5 3 43 0 5
16 5 4 44 0 5
16 5 5 45 1 5
16 5 6 46 0 4
16 5 7 47 0 6
16 5 8 48 0 4
16 5 9 49 0 5
16 5 10 50 0 5
16 6 1 51 0 5
16 6 2 52 1 6
16 6 3 53 0 5
16 6 4 54 1 4
16 6 5 55 1 4
16 6 6 56 0 4
16 6 7 57 0 4
16 6 8 58 0 5
16 6 9 59 0 4
16 6 10 60 0 5
16 7 1 61 0 5
16 7 2 62 0 4
16 7 3 63 1 4
16 7 4 64 0 6
16 7 5 65 0 6
16 7 6 66 0 6
16 7 7 67 0 5
16 7 8 68 0 4
16 7 9 69 0 4
16 7 10 70 0 5
17 1 1 1 0 6
17 1 2 2 0 5
17 1 3 3 0 6
17 1 4 4 1 6
17 1 5 5 0 4
17 1 6 6 0 5
17 1 7 7 3 6
17 1 8 8 0 6
17 1 9 9 0 5
17 1 10 10 1 5
17 2 1 11 1 5
17 2 2 12 1 4
17 2 3 13 0 6
17 2 4 14 1 4
17 2 5 15 2 4
17 2 6 16 0 5
17 2 7 17 1 4
17 2 8 18 1 5
17 2 9 19 1 4
17 2 10 20 0 5
17 3 1 21 0 5
17 3 2 22 0 5
17 3 3 23 0 5
17 3 4 24 1 5
17 3 5 25 0 5
17 3 6 26 2 4
17 3 7 27 1 5
17 3 8 28 0 5
17 3 9 29 1 6
17 3 10 30 1 4
17 4 1 31 2 5
17 4 2 32 0 4
17 4 3 33 0 6
17 4 4 34 0 6
17 4 5 35 0 6
17 4 6 36 2 4
17 4 7 37 0 5
17 4 8 38 0 6
17 4 9 39 0 5
17 4 10 40 0 5
17 5 1 41 1 4
17 5 2 42 0 5
