"Beep" "Day" "subjno" "Beepno" "PA" "NA." "PA_lag" "NA._lag"
7 5 1 47 2.39277287923606 2.1248724456118 3.14264602460955 2.31719408129037
8 5 1 48 3.50895121785367 2.78790998311603 2.39277287923606 2.1248724456118
9 5 1 49 3.30761046545698 2.28337162835794 3.50895121785367 2.78790998311603
10 5 1 50 3.60950758439192 2.44123545981693 3.30761046545698 2.28337162835794
1 6 1 51 3.56128437358775 0.796039023327917 NA NA
2 6 1 52 5.29807937331258 1.52984617711001 3.56128437358775 0.796039023327917
3 6 1 53 3.7456642156799 2.86964801647828 5.29807937331258 1.52984617711001
4 6 1 54 3.65652597446695 2.91507659396122 3.7456642156799 2.86964801647828
5 6 1 55 3.50300144189155 1.77763524517592 3.65652597446695 2.91507659396122
6 6 1 56 3.08871085350834 3.39698908018864 3.50300144189155 1.77763524517592
7 6 1 57 4.06221440300265 1.8032216662421 3.08871085350834 3.39698908018864
8 6 1 58 4.78119721404842 1.49796966896623 4.06221440300265 1.8032216662421
9 6 1 59 3.38573495131894 1.22620843048616 4.78119721404842 1.49796966896623
10 6 1 60 3.49529735898463 2.73500798220731 3.38573495131894 1.22620843048616
1 1 2 1 3.07540511132597 3.36240623997445 NA NA
2 1 2 2 3.09170981373612 3.92267852874967 3.07540511132597 3.36240623997445
3 1 2 3 2.21309935132438 3.72498242671882 3.09170981373612 3.92267852874967
4 1 2 4 4.23712647921795 2.86048990768954 2.21309935132438 3.72498242671882
5 1 2 5 3.64206630588668 3.48978081306639 4.23712647921795 2.86048990768954
6 1 2 6 3.76407436469379 3.73382610540806 3.64206630588668 3.48978081306639
7 1 2 7 5.0217293979073 4.17350461032795 3.76407436469379 3.73382610540806
8 1 2 8 4.56336003493041 4.60032373732155 5.0217293979073 4.17350461032795
9 1 2 9 3.43924348110663 3.16327251258716 4.56336003493041 4.60032373732155
10 1 2 10 2.42453211936099 3.65814742955529 3.43924348110663 3.16327251258716
1 2 2 11 3.07661828877339 3.63739385832701 NA NA
2 2 2 12 3.64724874931916 1.82428315574627 3.07661828877339 3.63739385832701
3 2 2 13 3.17388892594593 3.00803289495015 3.64724874931916 1.82428315574627
4 2 2 14 3.40052465739428 2.84075326491665 3.17388892594593 3.00803289495015
5 2 2 15 2.34235928586981 3.35981932963159 3.40052465739428 2.84075326491665
6 2 2 16 2.30809813105284 3.09070468203287 2.34235928586981 3.35981932963159
7 2 2 17 2.14981072379858 3.62020607095843 2.30809813105284 3.09070468203287
8 2 2 18 2.96834185159458 2.84323055328022 2.14981072379858 3.62020607095843
9 2 2 19 3.42550782328742 2.80138641434804 2.96834185159458 2.84323055328022
10 2 2 20 4.65649628131348 2.10132057937852 3.42550782328742 2.80138641434804
1 3 2 21 3.05353871187157 4.24751244948073 NA NA
2 3 2 22 3.18961188307521 2.2206813894388 3.05353871187157 4.24751244948073
3 3 2 23 3.94631511036332 2.96327664827146 3.18961188307521 2.2206813894388
4 3 2 24 3.52028454633756 3.90931208406203 3.94631511036332 2.96327664827146
5 3 2 25 3.98882386207659 1.93224643132581 3.52028454633756 3.90931208406203
6 3 2 26 3.46750584775405 3.00303093798052 3.98882386207659 1.93224643132581
7 3 2 27 3.56758784734999 2.37577146029665 3.46750584775405 3.00303093798052
8 3 2 28 4.93074244941977 2.04565170860446 3.56758784734999 2.37577146029665
9 3 2 29 3.96689835245027 2.28012927780199 4.93074244941977 2.04565170860446
10 3 2 30 5.44812908980853 2.75795849405314 3.96689835245027 2.28012927780199
1 4 2 31 5.40257530587179 1.78208066440181 NA NA
2 4 2 32 6.68603623246094 3.32448594997446 5.40257530587179 1.78208066440181
3 4 2 33 6.27081311980889 4.02307734965511 6.68603623246094 3.32448594997446
4 4 2 34 1.94880106920359 4.09530439807757 6.27081311980889 4.02307734965511
5 4 2 35 0.39422519098275 2.53209253426652 1.94880106920359 4.09530439807757
6 4 2 36 0.190026650489203 1.34673671876305 0.39422519098275 2.53209253426652
7 4 2 37 3.40101639756748 0.941896284295945 0.190026650489203 1.34673671876305
8 4 2 38 6.12681534601398 4.71365412690448 3.40101639756748 0.941896284295945
9 4 2 39 5.33129811176792 3.49722183451924 6.12681534601398 4.71365412690448
10 4 2 40 4.09706999905912 3.61551772661728 5.33129811176792 3.49722183451924
1 5 2 41 3.8124390347732 3.56681574791426 NA NA
2 5 2 42 3.71955274291527 2.50006305543622 3.8124390347732 3.56681574791426
3 5 2 43 5.08289276612249 2.48487557264126 3.71955274291527 2.50006305543622
4 5 2 44 6.72970698793355 2.99102338057809 5.08289276612249 2.48487557264126
5 5 2 45 4.72116467427761 3.5777523285954 6.72970698793355 2.99102338057809
6 5 2 46 5.53727727267378 4.4659689285991 4.72116467427761 3.5777523285954
7 5 2 47 6.11655906184035 2.93778898561034 5.53727727267378 4.4659689285991
8 5 2 48 5.89184595701475 3.49568458237414 6.11655906184035 2.93778898561034
9 5 2 49 5.30667686541785 4.15762592993453 5.89184595701475 3.49568458237414
10 5 2 50 4.81098548088095 3.84799233248604 5.30667686541785 4.15762592993453
1 6 2 51 3.18389130712576 3.64099805122562 NA NA
2 6 2 52 2.02339922332258 3.11787068554335 3.18389130712576 3.64099805122562
3 6 2 53 3.02808981139699 3.29922292525533 2.02339922332258 3.11787068554335
4 6 2 54 3.35274369140054 3.56243430590067 3.02808981139699 3.29922292525533
5 6 2 55 2.89132110702879 3.7136490793773 3.35274369140054 3.56243430590067
6 6 2 56 4.29064340316965 3.56244246156527 2.89132110702879 3.7136490793773
7 6 2 57 4.60711120343163 4.81156722935361 4.29064340316965 3.56244246156527
8 6 2 58 3.82021781851541 3.7954402775768 4.60711120343163 4.81156722935361
9 6 2 59 3.7198947287466 2.98191965006691 3.82021781851541 3.7954402775768
10 6 2 60 4.09390003590647 3.16753349850462 3.7198947287466 2.98191965006691
1 1 3 1 2.78093507532534 0.842792029970026 NA NA
2 1 3 2 1.59894698232896 0.821747639409157 2.78093507532534 0.842792029970026
3 1 3 3 4.86915018401128 1.63626810466849 1.59894698232896 0.821747639409157
4 1 3 4 4.18694028419744 2.12978910015337 4.86915018401128 1.63626810466849
5 1 3 5 3.61632889713702 -0.0205756216309392 4.18694028419744 2.12978910015337
6 1 3 6 1.92033159083496 1.87346565077992 3.61632889713702 -0.0205756216309392
7 1 3 7 2.19447580288244 1.11407245980581 1.92033159083496 1.87346565077992
8 1 3 8 0.978274558438557 0.32859190414924 2.19447580288244 1.11407245980581
9 1 3 9 0.586722112666514 0.903714985095958 0.978274558438557 0.32859190414924
10 1 3 10 4.19318700402196 1.02940061023235 0.586722112666514 0.903714985095958
1 2 3 11 3.98915891280139 1.20981667042652 NA NA
2 2 3 12 3.18341743651106 0.0696758993990665 3.98915891280139 1.20981667042652
3 2 3 13 3.34110374169521 0.352937645472513 3.18341743651106 0.0696758993990665
4 2 3 14 2.17603310151214 0.691812900647534 3.34110374169521 0.352937645472513
5 2 3 15 2.13829443680808 1.63936848901294 2.17603310151214 0.691812900647534
6 2 3 16 3.66909419820235 1.41344405577234 2.13829443680808 1.63936848901294
7 2 3 17 3.93336545194317 0.855856726940021 3.66909419820235 1.41344405577234
8 2 3 18 3.27071002332235 2.07447027820443 3.93336545194317 0.855856726940021
9 2 3 19 2.24211294519809 0.0794823134739267 3.27071002332235 2.07447027820443
10 2 3 20 2.60452017389772 0.00858839571598718 2.24211294519809 0.0794823134739267
1 3 3 21 3.85619653311208 1.07601456539908 NA NA
2 3 3 22 2.51721026515393 0.597149556100416 3.85619653311208 1.07601456539908
3 3 3 23 2.56027138331627 1.16631126720025 2.51721026515393 0.597149556100416
4 3 3 24 2.61194028994469 0.324470533051747 2.56027138331627 1.16631126720025
5 3 3 25 2.37723140320309 0.558297220140862 2.61194028994469 0.324470533051747
6 3 3 26 2.17543608533539 0.73535978213489 2.37723140320309 0.558297220140862
7 3 3 27 2.24641223243817 -0.221474940267366 2.17543608533539 0.73535978213489
8 3 3 28 1.90818550631705 1.73770794194381 2.24641223243817 -0.221474940267366
9 3 3 29 3.8224662607007 0.411131446375504 1.90818550631705 1.73770794194381
10 3 3 30 3.1418738668243 2.19838810131425 3.8224662607007 0.411131446375504
1 4 3 31 2.11276979916476 0.595038801660398 NA NA
2 4 3 32 1.51495310983308 0.0162804562643668 2.11276979916476 0.595038801660398
3 4 3 33 4.2514006750264 0.746184395502081 1.51495310983308 0.0162804562643668
4 4 3 34 4.23576571813435 1.31388641804505 4.2514006750264 0.746184395502081
5 4 3 35 4.18017341444316 2.63053100885696 4.23576571813435 1.31388641804505
6 4 3 36 2.75397142781399 0.730192626973355 4.18017341444316 2.63053100885696
7 4 3 37 4.58617526119176 0.349491537921287 2.75397142781399 0.730192626973355
8 4 3 38 2.97791725318807 1.16166960282997 4.58617526119176 0.349491537921287
9 4 3 39 3.04297504200904 0.189699266567785 2.97791725318807 1.16166960282997
10 4 3 40 3.68222934378769 0.72233403774362 3.04297504200904 0.189699266567785
1 5 3 41 2.61761684523759 1.00454831563889 NA NA
2 5 3 42 3.01427833739272 1.90848775480364 2.61761684523759 1.00454831563889
3 5 3 43 2.80171305943363 0.683736094772066 3.01427833739272 1.90848775480364
4 5 3 44 3.46114305974164 1.56136084997583 2.80171305943363 0.683736094772066
5 5 3 45 2.41045505603816 -0.197310660808648 3.46114305974164 1.56136084997583
6 5 3 46 2.07477023590911 0.676767226662961 2.41045505603816 -0.197310660808648
7 5 3 47 3.21708680734854 0.507287558927808 2.07477023590911 0.676767226662961
8 5 3 48 3.41626731868402 -0.0737718227531706 3.21708680734854 0.507287558927808
9 5 3 49 3.08120415108647 -0.333855999012164 3.41626731868402 -0.0737718227531706
10 5 3 50 4.2941039537082 0.544563947576866 3.08120415108647 -0.333855999012164
1 6 3 51 4.85884646869575 0.110400896022508 NA NA
2 6 3 52 5.24650194807918 1.68403582799459 4.85884646869575 0.110400896022508
3 6 3 53 1.90563241706949 1.84368650987195 5.24650194807918 1.68403582799459
4 6 3 54 3.10454935942865 2.58515002394562 1.90563241706949 1.84368650987195
5 6 3 55 3.9058714873483 1.05983796802419 3.10454935942865 2.58515002394562
6 6 3 56 2.47866078879198 0.961561576140857 3.9058714873483 1.05983796802419
7 6 3 57 3.12054653397403 1.43274030106594 2.47866078879198 0.961561576140857
8 6 3 58 2.25152525457486 1.73638315639702 3.12054653397403 1.43274030106594
9 6 3 59 2.72606521571441 1.69991532058729 2.25152525457486 1.73638315639702
10 6 3 60 3.6285823803395 0.561716466173136 2.72606521571441 1.69991532058729
1 1 4 1 3.72055771101664 0.520830455012643 NA NA
2 1 4 2 3.1133652778086 0.0509024979172985 3.72055771101664 0.520830455012643
3 1 4 3 3.23592775857333 1.92020386639709 3.1133652778086 0.0509024979172985
4 1 4 4 2.36906154057638 1.25477154701395 3.23592775857333 1.92020386639709
5 1 4 5 0.455184054163608 1.69888639478036 2.36906154057638 1.25477154701395
6 1 4 6 3.9498915714381 1.85557426568359 0.455184054163608 1.69888639478036
7 1 4 7 2.51931241437276 1.40622053733152 3.9498915714381 1.85557426568359
8 1 4 8 2.7290950803443 1.82334246443995 2.51931241437276 1.40622053733152
9 1 4 9 0.986657157204018 0.992152677753156 2.7290950803443 1.82334246443995
10 1 4 10 1.67444097428396 0.454523935192525 0.986657157204018 0.992152677753156
1 2 4 11 2.49148030056042 1.25264735532509 NA NA
2 2 4 12 2.24013397589326 1.43841154046909 2.49148030056042 1.25264735532509
3 2 4 13 2.31007511264725 0.812125889804421 2.24013397589326 1.43841154046909
4 2 4 14 2.19579712376078 0.543429111973566 2.31007511264725 0.812125889804421
5 2 4 15 3.69841343992226 1.94906140762354 2.19579712376078 0.543429111973566
6 2 4 16 2.01745073881371 0.70420862192121 3.69841343992226 1.94906140762354
7 2 4 17 2.56465137360601 0.81980392914762 2.01745073881371 0.70420862192121
8 2 4 18 2.02987584796656 2.20314111033294 2.56465137360601 0.81980392914762
9 2 4 19 1.11941886307186 0.997006306020691 2.02987584796656 2.20314111033294
10 2 4 20 2.11596664889989 -1.34913937585012 1.11941886307186 0.997006306020691
1 3 4 21 2.13597452045772 0.670248881429462 NA NA
2 3 4 22 2.81180258322519 1.26188458480205 2.13597452045772 0.670248881429462
3 3 4 23 -0.0526502346267272 0.289732840723402 2.81180258322519 1.26188458480205
4 3 4 24 2.75093802951431 0.781549074934443 -0.0526502346267272 0.289732840723402
5 3 4 25 2.21043778855159 0.675667849317926 2.75093802951431 0.781549074934443
6 3 4 26 1.81751527729588 1.02407411653396 2.21043778855159 0.675667849317926
7 3 4 27 1.38181605782379 0.216334918610903 1.81751527729588 1.02407411653396
8 3 4 28 1.78059189311863 0.460518176738092 1.38181605782379 0.216334918610903
9 3 4 29 3.34545389488845 1.98121484023462 1.78059189311863 0.460518176738092
10 3 4 30 2.33234883339746 2.02487236340196 3.34545389488845 1.98121484023462
1 4 4 31 0.664447041718221 0.635692818444481 NA NA
2 4 4 32 2.08087770132809 0.112780759967508 0.664447041718221 0.635692818444481
3 4 4 33 2.79973076866203 1.46547152294353 2.08087770132809 0.112780759967508
4 4 4 34 2.07125644278965 0.0777716834772825 2.79973076866203 1.46547152294353
5 4 4 35 3.31967409441781 0.734977716474857 2.07125644278965 0.0777716834772825
6 4 4 36 2.27748276331115 0.550023859369599 3.31967409441781 0.734977716474857
7 4 4 37 3.03902854979331 1.46165449337219 2.27748276331115 0.550023859369599
8 4 4 38 2.40115928204478 0.863094183769057 3.03902854979331 1.46165449337219
9 4 4 39 1.79413933930459 2.34348787757759 2.40115928204478 0.863094183769057
10 4 4 40 2.60355795620138 0.845208251836146 1.79413933930459 2.34348787757759
1 5 4 41 3.00181472423032 1.73267680947209 NA NA
2 5 4 42 1.58527980810891 -0.104813570100074 3.00181472423032 1.73267680947209
3 5 4 43 2.69377963377611 0.0974702982735287 1.58527980810891 -0.104813570100074
4 5 4 44 2.43859472209616 0.40191516387072 2.69377963377611 0.0974702982735287
5 5 4 45 4.46206746605465 1.48540874040494 2.43859472209616 0.40191516387072
6 5 4 46 2.1517220005072 1.2978278604887 4.46206746605465 1.48540874040494
7 5 4 47 2.43582207608771 0.567720847487533 2.1517220005072 1.2978278604887
8 5 4 48 1.16743910978069 0.564273876109845 2.43582207608771 0.567720847487533
9 5 4 49 2.7382183274629 1.80943244435652 1.16743910978069 0.564273876109845
10 5 4 50 1.81780130965872 -0.395346611331514 2.7382183274629 1.80943244435652
1 6 4 51 2.20243461342375 1.57621645013548 NA NA
2 6 4 52 4.12323669296117 -0.683539850301017 2.20243461342375 1.57621645013548
3 6 4 53 3.89862024703093 -0.204983852562616 4.12323669296117 -0.683539850301017
4 6 4 54 3.32515665561088 -0.442142047845043 3.89862024703093 -0.204983852562616
5 6 4 55 4.44870259410807 1.58708380314322 3.32515665561088 -0.442142047845043
6 6 4 56 2.80352738997589 0.776617926496416 4.44870259410807 1.58708380314322
7 6 4 57 3.85697858278534 2.35796446291839 2.80352738997589 0.776617926496416
8 6 4 58 1.065824348696 0.933099819528656 3.85697858278534 2.35796446291839
9 6 4 59 1.95939849323306 0.745981923341677 1.065824348696 0.933099819528656
10 6 4 60 3.47539945842955 1.27544614171597 1.95939849323306 0.745981923341677
1 1 5 1 3.11416905498011 2.20325492311093 NA NA
2 1 5 2 3.74840894854351 2.396368629552 3.11416905498011 2.20325492311093
3 1 5 3 4.57464144233303 2.10957629287595 3.74840894854351 2.396368629552
4 1 5 4 3.09396116773002 1.40942607224765 4.57464144233303 2.10957629287595
5 1 5 5 3.27580905546723 2.3870026449074 3.09396116773002 1.40942607224765
6 1 5 6 4.0843547999537 2.98089721276916 3.27580905546723 2.3870026449074
7 1 5 7 3.8516511563913 3.58671664517048 4.0843547999537 2.98089721276916
8 1 5 8 2.96097115819442 3.60363849682012 3.8516511563913 3.58671664517048
9 1 5 9 4.29881428698925 2.71462972178528 2.96097115819442 3.60363849682012
10 1 5 10 3.37237220915163 2.61594306627791 4.29881428698925 2.71462972178528
1 2 5 11 4.04674889959919 2.92905103565837 NA NA
2 2 5 12 3.45012225539946 2.20065174199689 4.04674889959919 2.92905103565837
3 2 5 13 4.52383645854275 2.84604144416096 3.45012225539946 2.20065174199689
4 2 5 14 2.94914610913866 1.93654878210863 4.52383645854275 2.84604144416096
5 2 5 15 3.77903402527847 2.52930585551425 2.94914610913866 1.93654878210863
6 2 5 16 3.43985848261108 1.85034222841914 3.77903402527847 2.52930585551425
7 2 5 17 3.99953111271243 2.4676804862521 3.43985848261108 1.85034222841914
8 2 5 18 5.98060743698128 2.65649008757334 3.99953111271243 2.4676804862521
9 2 5 19 5.41409747345988 2.1241552791524 5.98060743698128 2.65649008757334
10 2 5 20 2.34198192195299 2.08166389692892 5.41409747345988 2.1241552791524
1 3 5 21 2.84470416166024 3.09620357872855 NA NA
2 3 5 22 2.86820648383573 3.66834068010025 2.84470416166024 3.09620357872855
3 3 5 23 3.56777091269065 2.91360820279644 2.86820648383573 3.66834068010025
4 3 5 24 3.35266471098444 2.51320127079453 3.56777091269065 2.91360820279644
5 3 5 25 3.87520582080466 1.30641464455323 3.35266471098444 2.51320127079453
6 3 5 26 1.80542613027189 1.85046805068562 3.87520582080466 1.30641464455323
7 3 5 27 3.91664942495352 2.49902688899148 1.80542613027189 1.85046805068562
8 3 5 28 2.43065362445425 1.26815540518456 3.91664942495352 2.49902688899148
9 3 5 29 3.55561761483626 0.93667251558784 2.43065362445425 1.26815540518456
10 3 5 30 4.30596501343793 1.28499936291655 3.55561761483626 0.93667251558784
1 4 5 31 4.34176090517906 2.20725606089964 NA NA
2 4 5 32 5.79424106016569 2.64967886240667 4.34176090517906 2.20725606089964
3 4 5 33 5.32018232017356 3.39519881559736 5.79424106016569 2.64967886240667
4 4 5 34 2.91297799130344 2.40610011378164 5.32018232017356 3.39519881559736
5 4 5 35 3.26187016074677 3.73332519569947 2.91297799130344 2.40610011378164
6 4 5 36 4.04720080587625 3.98253724082723 3.26187016074677 3.73332519569947
7 4 5 37 4.91630886779183 2.8437630444325 4.04720080587625 3.98253724082723
8 4 5 38 4.62040901404718 2.02763194708648 4.91630886779183 2.8437630444325
9 4 5 39 4.53502849842832 2.4585755374124 4.62040901404718 2.02763194708648
10 4 5 40 2.88819473799667 1.48359555576407 4.53502849842832 2.4585755374124
1 5 5 41 4.65234846533393 1.94551668344764 NA NA
2 5 5 42 3.06830998961606 1.10253640911755 4.65234846533393 1.94551668344764
3 5 5 43 3.72510532162055 2.17848736826632 3.06830998961606 1.10253640911755
4 5 5 44 4.05512409924906 2.03309659996871 3.72510532162055 2.17848736826632
5 5 5 45 3.70870371279687 0.857541645798632 4.05512409924906 2.03309659996871
6 5 5 46 3.14287629248981 2.62845427332268 3.70870371279687 0.857541645798632
7 5 5 47 1.85238739702778 2.43797235410834 3.14287629248981 2.62845427332268
8 5 5 48 3.08229101316468 2.19322438915627 1.85238739702778 2.43797235410834
9 5 5 49 3.60515114480343 2.16192075282244 3.08229101316468 2.19322438915627
10 5 5 50 4.14016620289357 1.36225007183171 3.60515114480343 2.16192075282244
1 6 5 51 2.67373779974611 2.80203817792244 NA NA
2 6 5 52 3.24895754781441 2.23160733422565 2.67373779974611 2.80203817792244
3 6 5 53 4.27654179874273 1.79973166099633 3.24895754781441 2.23160733422565
4 6 5 54 4.25293380017131 1.80276624786815 4.27654179874273 1.79973166099633
5 6 5 55 5.01888153033778 3.78781622039273 4.25293380017131 1.80276624786815
6 6 5 56 2.41690386689333 2.01567212540081 5.01888153033778 3.78781622039273
7 6 5 57 3.60378595453042 3.06152261838931 2.41690386689333 2.01567212540081
8 6 5 58 4.17700362038445 1.73672945179931 3.60378595453042 3.06152261838931
9 6 5 59 3.05798061439198 1.81892044741686 4.17700362038445 1.73672945179931
10 6 5 60 2.3224698370965 1.66638852965123 3.05798061439198 1.81892044741686
1 1 6 1 2.02363400828123 1.77593315367682 NA NA
2 1 6 2 3.54112007016122 2.1276642924911 2.02363400828123 1.77593315367682
3 1 6 3 0.892846046163431 2.98661744548106 3.54112007016122 2.1276642924911
4 1 6 4 1.46249934576183 3.19672882087612 0.892846046163431 2.98661744548106
5 1 6 5 2.85286031157198 3.94001938122976 1.46249934576183 3.19672882087612
6 1 6 6 2.72133854737828 2.67519806903416 2.85286031157198 3.94001938122976
7 1 6 7 1.50314943584044 1.51486074231631 2.72133854737828 2.67519806903416
8 1 6 8 0.393340465079219 2.48615768811041 1.50314943584044 1.51486074231631
9 1 6 9 1.74229809776143 2.18393210552046 0.393340465079219 2.48615768811041
10 1 6 10 1.80000085520628 2.3005466237719 1.74229809776143 2.18393210552046
1 2 6 11 1.29829250414877 2.98212978521972 NA NA
2 2 6 12 1.83454494563806 3.80294195272476 1.29829250414877 2.98212978521972
3 2 6 13 2.19963049477147 3.48291584557868 1.83454494563806 3.80294195272476
4 2 6 14 2.80965742563398 3.57170471990799 2.19963049477147 3.48291584557868
5 2 6 15 3.65344772679144 3.45936218500724 2.80965742563398 3.57170471990799
6 2 6 16 3.30039955064684 2.42406891353242 3.65344772679144 3.45936218500724
7 2 6 17 1.9462235844787 1.6635700168369 3.30039955064684 2.42406891353242
8 2 6 18 2.97069465644333 2.69126977093707 1.9462235844787 1.6635700168369
9 2 6 19 0.879867247326147 1.64236689203493 2.97069465644333 2.69126977093707
10 2 6 20 1.43355929539017 2.5248925174645 0.879867247326147 1.64236689203493
1 3 6 21 1.91686377738597 3.17513615948962 NA NA
2 3 6 22 2.07601642931173 0.964959346672796 1.91686377738597 3.17513615948962
3 3 6 23 1.89061683256681 2.07316468272679 2.07601642931173 0.964959346672796
4 3 6 24 2.23223332090157 3.18882524920383 1.89061683256681 2.07316468272679
5 3 6 25 1.10964366418601 3.3938255526749 2.23223332090157 3.18882524920383
6 3 6 26 2.25871994981896 2.64913839011658 1.10964366418601 3.3938255526749
7 3 6 27 0.393451702109558 3.1609622407272 2.25871994981896 2.64913839011658
8 3 6 28 1.66538033389099 2.73511930023326 0.393451702109558 3.1609622407272
9 3 6 29 1.30104231447329 2.76729558044839 1.66538033389099 2.73511930023326
10 3 6 30 1.542587207178 2.88400133501249 1.30104231447329 2.76729558044839
1 4 6 31 2.02963897591669 3.41881060830179 NA NA
2 4 6 32 1.80481737993985 2.97748192100805 2.02963897591669 3.41881060830179
3 4 6 33 1.62853285798965 2.57170690014685 1.80481737993985 2.97748192100805
4 4 6 34 2.40014504992225 2.14368122269854 1.62853285798965 2.57170690014685
5 4 6 35 2.95828702405762 1.59521587094573 2.40014504992225 2.14368122269854
6 4 6 36 2.30003571273486 2.57549555835233 2.95828702405762 1.59521587094573
7 4 6 37 2.17939697891934 2.46234168191582 2.30003571273486 2.57549555835233
8 4 6 38 2.56619513089945 1.99097117640936 2.17939697891934 2.46234168191582
9 4 6 39 2.47394155297234 2.30673166800042 2.56619513089945 1.99097117640936
10 4 6 40 2.29701634761644 0.904809038293262 2.47394155297234 2.30673166800042
1 5 6 41 1.69351891174498 2.39274721385212 NA NA
2 5 6 42 0.195608698296838 2.92601779206176 1.69351891174498 2.39274721385212
3 5 6 43 3.49507234162033 2.93564672753711 0.195608698296838 2.92601779206176
4 5 6 44 1.00385509154861 2.45712308261589 3.49507234162033 2.93564672753711
5 5 6 45 1.28080486883721 1.61015824339938 1.00385509154861 2.45712308261589
6 5 6 46 2.17693950806518 1.33442348769958 1.28080486883721 1.61015824339938
7 5 6 47 1.79969496232366 1.97941458439744 2.17693950806518 1.33442348769958
8 5 6 48 0.971127771201654 0.92470883046406 1.79969496232366 1.97941458439744
9 5 6 49 1.89948498291597 1.0249647858786 0.971127771201654 0.92470883046406
10 5 6 50 0.271406934041264 1.34693495830118 1.89948498291597 1.0249647858786
1 6 6 51 2.42828766988066 0.439773803134297 NA NA
2 6 6 52 3.20624316353712 0.987588013473885 2.42828766988066 0.439773803134297
3 6 6 53 3.77293649659807 3.10116017552485 3.20624316353712 0.987588013473885
4 6 6 54 3.74812551582888 1.78765934950311 3.77293649659807 3.10116017552485
5 6 6 55 1.74624706882632 2.6738909352078 3.74812551582888 1.78765934950311
6 6 6 56 2.80790701897536 2.79036629422171 1.74624706882632 2.6738909352078
