"id" "day" "beep" "obs" "PA"
2 7 7 67 2
2 7 8 68 3
2 7 9 69 2
2 7 10 70 2
3 1 1 1 2
3 1 2 2 2
3 1 3 3 1
3 1 4 4 1
3 1 5 5 2
3 1 6 6 2
3 1 7 7 1
3 1 8 8 2
3 1 9 9 1
3 1 10 10 2
3 2 1 11 2
3 2 2 12 3
3 2 3 13 4
3 2 4 14 2
3 2 5 15 3
3 2 6 16 3
3 2 7 17 2
3 2 8 18 2
3 2 9 19 4
3 2 10 20 1
3 3 1 21 2
3 3 2 22 1
3 3 3 23 3
3 3 4 24 2
3 3 5 25 2
3 3 6 26 4
3 3 7 27 2
3 3 8 28 2
3 3 9 29 2
3 3 10 30 1
3 4 1 31 2
3 4 2 32 2
3 4 3 33 2
3 4 4 34 1
3 4 5 35 1
3 4 6 36 2
3 4 7 37 1
3 4 8 38 3
3 4 9 39 3
3 4 10 40 2
3 5 1 41 2
3 5 2 42 2
3 5 3 43 2
3 5 4 44 2
3 5 5 45 2
3 5 6 46 2
3 5 7 47 2
3 5 8 48 3
3 5 9 49 2
3 5 10 50 2
3 6 1 51 2
3 6 2 52 2
3 6 3 53 3
3 6 4 54 2
3 6 5 55 3
3 6 6 56 2
3 6 7 57 2
3 6 8 58 3
3 6 9 59 2
3 6 10 60 2
3 7 1 61 3
3 7 2 62 2
3 7 3 63 2
3 7 4 64 2
3 7 5 65 2
3 7 6 66 1
3 7 7 67 2
3 7 8 68 3
3 7 9 69 1
3 7 10 70 3
4 1 1 1 3
4 1 2 2 4
4 1 3 3 2
4 1 4 4 3
4 1 5 5 3
4 1 6 6 3
4 1 7 7 2
4 1 8 8 3
4 1 9 9 2
4 1 10 10 2
4 2 1 11 2
4 2 2 12 1
4 2 3 13 2
4 2 4 14 2
4 2 5 15 2
4 2 6 16 3
4 2 7 17 1
4 2 8 18 2
4 2 9 19 3
4 2 10 20 0
4 3 1 21 2
4 3 2 22 4
4 3 3 23 4
4 3 4 24 3
4 3 5 25 2
4 3 6 26 3
4 3 7 27 2
4 3 8 28 4
4 3 9 29 2
4 3 10 30 3
4 4 1 31 3
4 4 2 32 2
4 4 3 33 3
4 4 4 34 2
4 4 5 35 3
4 4 6 36 3
4 4 7 37 2
4 4 8 38 3
4 4 9 39 2
4 4 10 40 3
4 5 1 41 3
4 5 2 42 2
4 5 3 43 3
4 5 4 44 2
4 5 5 45 2
4 5 6 46 3
4 5 7 47 1
4 5 8 48 1
4 5 9 49 2
4 5 10 50 1
4 6 1 51 3
4 6 2 52 2
4 6 3 53 1
4 6 4 54 2
4 6 5 55 2
4 6 6 56 3
4 6 7 57 2
4 6 8 58 3
4 6 9 59 3
4 6 10 60 3
4 7 1 61 2
4 7 2 62 4
4 7 3 63 2
4 7 4 64 1
4 7 5 65 2
4 7 6 66 1
4 7 7 67 2
4 7 8 68 2
4 7 9 69 3
4 7 10 70 3
5 1 1 1 2
5 1 2 2 3
5 1 3 3 4
5 1 4 4 2
5 1 5 5 2
5 1 6 6 3
5 1 7 7 3
5 1 8 8 3
5 1 9 9 4
5 1 10 10 3
5 2 1 11 3
5 2 2 12 3
5 2 3 13 3
5 2 4 14 3
5 2 5 15 3
5 2 6 16 2
5 2 7 17 2
5 2 8 18 3
5 2 9 19 2
5 2 10 20 3
5 3 1 21 3
5 3 2 22 3
5 3 3 23 2
5 3 4 24 2
5 3 5 25 3
5 3 6 26 3
5 3 7 27 3
5 3 8 28 3
5 3 9 29 2
5 3 10 30 3
5 4 1 31 3
5 4 2 32 3
5 4 3 33 3
5 4 4 34 2
5 4 5 35 3
5 4 6 36 3
5 4 7 37 3
5 4 8 38 3
5 4 9 39 3
5 4 10 40 3
5 5 1 41 2
5 5 2 42 3
5 5 3 43 3
5 5 4 44 1
5 5 5 45 2
5 5 6 46 3
5 5 7 47 3
5 5 8 48 2
5 5 9 49 1
5 5 10 50 3
5 6 1 51 3
5 6 2 52 4
5 6 3 53 2
5 6 4 54 3
5 6 5 55 2
5 6 6 56 2
5 6 7 57 3
5 6 8 58 2
5 6 9 59 2
5 6 10 60 3
5 7 1 61 2
5 7 2 62 2
5 7 3 63 2
5 7 4 64 3
5 7 5 65 3
5 7 6 66 3
5 7 7 67 2
5 7 8 68 3
5 7 9 69 2
5 7 10 70 3
6 1 1 1 3
6 1 2 2 1
6 1 3 3 2
6 1 4 4 1
6 1 5 5 1
6 1 6 6 2
6 1 7 7 1
6 1 8 8 1
6 1 9 9 3
6 1 10 10 2
6 2 1 11 2
6 2 2 12 1
6 2 3 13 3
6 2 4 14 4
6 2 5 15 2
6 2 6 16 3
6 2 7 17 3
6 2 8 18 1
6 2 9 19 2
6 2 10 20 1
6 3 1 21 1
6 3 2 22 2
6 3 3 23 2
6 3 4 24 2
6 3 5 25 2
6 3 6 26 1
6 3 7 27 2
6 3 8 28 1
6 3 9 29 2
6 3 10 30 2
6 4 1 31 2
6 4 2 32 3
6 4 3 33 2
6 4 4 34 1
6 4 5 35 1
6 4 6 36 1
6 4 7 37 1
6 4 8 38 2
6 4 9 39 1
6 4 10 40 2
6 5 1 41 2
6 5 2 42 1
6 5 3 43 2
6 5 4 44 3
6 5 5 45 3
6 5 6 46 4
6 5 7 47 2
6 5 8 48 1
6 5 9 49 2
6 5 10 50 2
6 6 1 51 3
6 6 2 52 2
6 6 3 53 2
6 6 4 54 2
6 6 5 55 1
6 6 6 56 1
6 6 7 57 2
6 6 8 58 2
6 6 9 59 2
6 6 10 60 2
6 7 1 61 1
6 7 2 62 1
6 7 3 63 3
6 7 4 64 1
6 7 5 65 1
6 7 6 66 2
6 7 7 67 1
6 7 8 68 1
6 7 9 69 1
6 7 10 70 2
7 1 1 1 2
7 1 2 2 2
7 1 3 3 2
7 1 4 4 2
7 1 5 5 2
7 1 6 6 0
7 1 7 7 2
7 1 8 8 2
7 1 9 9 2
7 1 10 10 1
7 2 1 11 2
7 2 2 12 1
7 2 3 13 3
7 2 4 14 3
7 2 5 15 2
7 2 6 16 1
7 2 7 17 2
7 2 8 18 3
7 2 9 19 2
7 2 10 20 1
7 3 1 21 1
7 3 2 22 1
7 3 3 23 2
7 3 4 24 2
7 3 5 25 2
7 3 6 26 3
7 3 7 27 2
7 3 8 28 3
7 3 9 29 1
7 3 10 30 2
7 4 1 31 2
7 4 2 32 2
7 4 3 33 1
7 4 4 34 2
7 4 5 35 2
7 4 6 36 2
7 4 7 37 2
7 4 8 38 2
7 4 9 39 3
7 4 10 40 2
7 5 1 41 1
7 5 2 42 2
7 5 3 43 2
7 5 4 44 2
7 5 5 45 1
7 5 6 46 3
7 5 7 47 1
7 5 8 48 2
7 5 9 49 1
7 5 10 50 1
7 6 1 51 2
7 6 2 52 1
7 6 3 53 2
7 6 4 54 2
7 6 5 55 0
7 6 6 56 2
7 6 7 57 0
7 6 8 58 2
7 6 9 59 1
7 6 10 60 1
7 7 1 61 2
7 7 2 62 3
7 7 3 63 1
7 7 4 64 2
7 7 5 65 2
7 7 6 66 1
7 7 7 67 1
7 7 8 68 0
7 7 9 69 2
7 7 10 70 2
8 1 1 1 4
8 1 2 2 3
8 1 3 3 3
8 1 4 4 3
8 1 5 5 2
8 1 6 6 3
8 1 7 7 3
8 1 8 8 3
8 1 9 9 3
8 1 10 10 3
8 2 1 11 2
8 2 2 12 3
8 2 3 13 3
8 2 4 14 3
8 2 5 15 3
8 2 6 16 2
8 2 7 17 2
8 2 8 18 3
8 2 9 19 2
8 2 10 20 2
8 3 1 21 2
8 3 2 22 1
8 3 3 23 1
8 3 4 24 2
8 3 5 25 1
8 3 6 26 1
8 3 7 27 3
8 3 8 28 2
8 3 9 29 1
8 3 10 30 2
8 4 1 31 3
8 4 2 32 2
8 4 3 33 2
8 4 4 34 3
8 4 5 35 1
8 4 6 36 2
8 4 7 37 1
8 4 8 38 2
8 4 9 39 3
8 4 10 40 3
8 5 1 41 2
8 5 2 42 1
8 5 3 43 1
8 5 4 44 3
8 5 5 45 1
8 5 6 46 2
8 5 7 47 2
8 5 8 48 2
8 5 9 49 3
8 5 10 50 2
8 6 1 51 1
8 6 2 52 2
8 6 3 53 1
8 6 4 54 2
8 6 5 55 3
8 6 6 56 3
8 6 7 57 2
8 6 8 58 1
8 6 9 59 3
8 6 10 60 2
8 7 1 61 2
8 7 2 62 1
8 7 3 63 3
8 7 4 64 3
8 7 5 65 2
8 7 6 66 2
8 7 7 67 2
8 7 8 68 3
8 7 9 69 2
8 7 10 70 2
9 1 1 1 2
9 1 2 2 1
9 1 3 3 1
9 1 4 4 1
9 1 5 5 1
9 1 6 6 2
9 1 7 7 3
9 1 8 8 1
9 1 9 9 1
9 1 10 10 2
9 2 1 11 3
9 2 2 12 2
9 2 3 13 2
9 2 4 14 1
9 2 5 15 2
9 2 6 16 2
9 2 7 17 2
9 2 8 18 2
9 2 9 19 2
9 2 10 20 2
9 3 1 21 2
9 3 2 22 2
9 3 3 23 2
9 3 4 24 3
9 3 5 25 2
9 3 6 26 3
9 3 7 27 2
9 3 8 28 2
9 3 9 29 1
9 3 10 30 2
9 4 1 31 2
9 4 2 32 1
9 4 3 33 1
9 4 4 34 2
9 4 5 35 2
9 4 6 36 1
9 4 7 37 2
9 4 8 38 1
9 4 9 39 1
9 4 10 40 2
9 5 1 41 1
9 5 2 42 2
9 5 3 43 2
9 5 4 44 2
9 5 5 45 1
9 5 6 46 1
9 5 7 47 2
9 5 8 48 2
9 5 9 49 1
9 5 10 50 2
9 6 1 51 2
9 6 2 52 1
9 6 3 53 1
9 6 4 54 1
9 6 5 55 0
9 6 6 56 2
9 6 7 57 2
9 6 8 58 2
9 6 9 59 1
9 6 10 60 1
9 7 1 61 1
9 7 2 62 2
9 7 3 63 0
9 7 4 64 2
9 7 5 65 1
9 7 6 66 2
9 7 7 67 1
9 7 8 68 1
9 7 9 69 3
9 7 10 70 2
10 1 1 1 1
10 1 2 2 1
10 1 3 3 1
10 1 4 4 0
10 1 5 5 1
10 1 6 6 1
10 1 7 7 1
10 1 8 8 2
10 1 9 9 1
10 1 10 10 2
10 2 1 11 1
10 2 2 12 2
10 2 3 13 1
10 2 4 14 1
10 2 5 15 0
10 2 6 16 1
10 2 7 17 3
10 2 8 18 2
10 2 9 19 2
10 2 10 20 2
10 3 1 21 2
10 3 2 22 2
10 3 3 23 1
10 3 4 24 1
10 3 5 25 1
10 3 6 26 0
10 3 7 27 1
10 3 8 28 2
10 3 9 29 2
10 3 10 30 1
10 4 1 31 0
10 4 2 32 3
10 4 3 33 1
10 4 4 34 2
10 4 5 35 1
10 4 6 36 1
10 4 7 37 1
10 4 8 38 2
10 4 9 39 1
10 4 10 40 1
10 5 1 41 0
10 5 2 42 1
10 5 3 43 0
10 5 4 44 2
10 5 5 45 1
10 5 6 46 1
10 5 7 47 2
10 5 8 48 2
10 5 9 49 0
10 5 10 50 1
10 6 1 51 0
10 6 2 52 1
10 6 3 53 2
10 6 4 54 2
10 6 5 55 2
10 6 6 56 1
10 6 7 57 0
10 6 8 58 0
10 6 9 59 2
10 6 10 60 1
10 7 1 61 0
10 7 2 62 1
10 7 3 63 2
10 7 4 64 1
10 7 5 65 0
10 7 6 66 0
10 7 7 67 0
10 7 8 68 1
10 7 9 69 2
10 7 10 70 0
11 1 1 1 3
11 1 2 2 2
11 1 3 3 3
11 1 4 4 1
11 1 5 5 2
11 1 6 6 2
11 1 7 7 3
11 1 8 8 3
11 1 9 9 3
11 1 10 10 3
11 2 1 11 2
11 2 2 12 3
11 2 3 13 2
11 2 4 14 2
11 2 5 15 3
11 2 6 16 3
11 2 7 17 3
11 2 8 18 2
11 2 9 19 2
11 2 10 20 3
11 3 1 21 2
11 3 2 22 3
11 3 3 23 2
11 3 4 24 3
11 3 5 25 2
11 3 6 26 3
11 3 7 27 2
11 3 8 28 1
11 3 9 29 1
11 3 10 30 2
11 4 1 31 3
11 4 2 32 1
11 4 3 33 1
11 4 4 34 3
11 4 5 35 2
11 4 6 36 2
11 4 7 37 2
11 4 8 38 2
11 4 9 39 2
11 4 10 40 2
11 5 1 41 2
11 5 2 42 1
11 5 3 43 0
11 5 4 44 3
11 5 5 45 3
11 5 6 46 1
11 5 7 47 2
11 5 8 48 3
11 5 9 49 2
11 5 10 50 3
11 6 1 51 1
11 6 2 52 4
11 6 3 53 1
11 6 4 54 2
11 6 5 55 2
11 6 6 56 2
11 6 7 57 2
11 6 8 58 1
11 6 9 59 3
11 6 10 60 2
11 7 1 61 2
11 7 2 62 2
11 7 3 63 2
11 7 4 64 1
11 7 5 65 2
11 7 6 66 1
11 7 7 67 1
11 7 8 68 2
11 7 9 69 2
11 7 10 70 2
12 1 1 1 4
12 1 2 2 2
12 1 3 3 3
12 1 4 4 4
12 1 5 5 2
12 1 6 6 3
12 1 7 7 4
12 1 8 8 3
12 1 9 9 3
12 1 10 10 3
12 2 1 11 3
12 2 2 12 3
12 2 3 13 3
12 2 4 14 5
12 2 5 15 4
12 2 6 16 3
12 2 7 17 2
12 2 8 18 3
12 2 9 19 4
12 2 10 20 3
12 3 1 21 3
12 3 2 22 4
12 3 3 23 3
12 3 4 24 2
12 3 5 25 3
12 3 6 26 4
12 3 7 27 3
12 3 8 28 3
12 3 9 29 3
12 3 10 30 4
12 4 1 31 2
12 4 2 32 2
12 4 3 33 3
12 4 4 34 3
12 4 5 35 5
12 4 6 36 2
12 4 7 37 3
12 4 8 38 4
12 4 9 39 4
12 4 10 40 3
12 5 1 41 3
12 5 2 42 3
12 5 3 43 4
12 5 4 44 3
12 5 5 45 2
12 5 6 46 4
12 5 7 47 3
12 5 8 48 3
12 5 9 49 3
12 5 10 50 3
12 6 1 51 3
12 6 2 52 3
12 6 3 53 3
12 6 4 54 2
12 6 5 55 3
12 6 6 56 4
12 6 7 57 4
12 6 8 58 4
12 6 9 59 2
12 6 10 60 3
12 7 1 61 4
12 7 2 62 3
12 7 3 63 5
12 7 4 64 3
12 7 5 65 4
12 7 6 66 4
12 7 7 67 4
12 7 8 68 3
12 7 9 69 4
12 7 10 70 3
13 1 1 1 1
13 1 2 2 1
13 1 3 3 2
13 1 4 4 2
13 1 5 5 3
13 1 6 6 2
13 1 7 7 2
13 1 8 8 1
13 1 9 9 2
13 1 10 10 1
13 2 1 11 2
13 2 2 12 1
13 2 3 13 2
13 2 4 14 1
13 2 5 15 1
13 2 6 16 1
13 2 7 17 1
13 2 8 18 2
13 2 9 19 2
13 2 10 20 2
13 3 1 21 0
13 3 2 22 2
13 3 3 23 1
13 3 4 24 1
13 3 5 25 1
13 3 6 26 2
13 3 7 27 0
13 3 8 28 2
13 3 9 29 1
13 3 10 30 2
13 4 1 31 1
13 4 2 32 1
13 4 3 33 0
13 4 4 34 1
13 4 5 35 1
13 4 6 36 2
13 4 7 37 0
13 4 8 38 2
13 4 9 39 2
13 4 10 40 0
13 5 1 41 2
13 5 2 42 1
13 5 3 43 1
13 5 4 44 2
13 5 5 45 2
13 5 6 46 1
13 5 7 47 1
13 5 8 48 1
13 5 9 49 2
13 5 10 50 0
13 6 1 51 0
13 6 2 52 3
13 6 3 53 3
13 6 4 54 1
13 6 5 55 2
13 6 6 56 2
13 6 7 57 3
13 6 8 58 2
13 6 9 59 2
13 6 10 60 0
13 7 1 61 2
13 7 2 62 1
13 7 3 63 0
13 7 4 64 1
13 7 5 65 1
13 7 6 66 2
13 7 7 67 0
13 7 8 68 1
13 7 9 69 2
13 7 10 70 2
14 1 1 1 3
14 1 2 2 4
14 1 3 3 3
14 1 4 4 2
14 1 5 5 3
14 1 6 6 3
14 1 7 7 4
14 1 8 8 1
14 1 9 9 3
14 1 10 10 3
14 2 1 11 3
14 2 2 12 1
14 2 3 13 3
14 2 4 14 2
14 2 5 15 3
14 2 6 16 3
14 2 7 17 3
14 2 8 18 1
14 2 9 19 3
14 2 10 20 2
14 3 1 21 2
14 3 2 22 3
14 3 3 23 3
14 3 4 24 2
14 3 5 25 3
14 3 6 26 2
14 3 7 27 2
14 3 8 28 2
14 3 9 29 2
14 3 10 30 3
14 4 1 31 3
14 4 2 32 2
14 4 3 33 2
14 4 4 34 3
14 4 5 35 2
14 4 6 36 0
14 4 7 37 3
14 4 8 38 2
14 4 9 39 2
14 4 10 40 3
14 5 1 41 4
14 5 2 42 2
14 5 3 43 3
14 5 4 44 3
14 5 5 45 3
14 5 6 46 4
14 5 7 47 3
14 5 8 48 2
14 5 9 49 2
14 5 10 50 3
14 6 1 51 1
14 6 2 52 3
14 6 3 53 1
14 6 4 54 2
14 6 5 55 2
14 6 6 56 3
14 6 7 57 2
14 6 8 58 2
14 6 9 59 3
14 6 10 60 2
14 7 1 61 2
14 7 2 62 3
14 7 3 63 3
14 7 4 64 1
14 7 5 65 3
14 7 6 66 1
14 7 7 67 2
14 7 8 68 3
14 7 9 69 1
14 7 10 70 1
15 1 1 1 3
15 1 2 2 2
15 1 3 3 3
15 1 4 4 2
15 1 5 5 3
15 1 6 6 3
15 1 7 7 2
15 1 8 8 2
15 1 9 9 2
15 1 10 10 4
15 2 1 11 3
15 2 2 12 3
15 2 3 13 2
15 2 4 14 2
15 2 5 15 4
15 2 6 16 2
15 2 7 17 3
15 2 8 18 3
15 2 9 19 2
15 2 10 20 4
15 3 1 21 1
15 3 2 22 3
15 3 3 23 2
15 3 4 24 3
15 3 5 25 1
15 3 6 26 3
15 3 7 27 3
15 3 8 28 1
15 3 9 29 1
15 3 10 30 2
15 4 1 31 3
15 4 2 32 2
15 4 3 33 2
15 4 4 34 3
15 4 5 35 1
15 4 6 36 3
15 4 7 37 2
15 4 8 38 1
15 4 9 39 2
15 4 10 40 3
15 5 1 41 2
15 5 2 42 3
15 5 3 43 2
15 5 4 44 1
15 5 5 45 3
15 5 6 46 2
15 5 7 47 2
15 5 8 48 3
15 5 9 49 2
15 5 10 50 3
15 6 1 51 1
15 6 2 52 3
15 6 3 53 2
15 6 4 54 2
15 6 5 55 1
15 6 6 56 2
15 6 7 57 2
15 6 8 58 2
15 6 9 59 2
15 6 10 60 2
15 7 1 61 2
15 7 2 62 3
15 7 3 63 2
15 7 4 64 3
15 7 5 65 3
15 7 6 66 2
15 7 7 67 1
15 7 8 68 2
15 7 9 69 4
15 7 10 70 2
16 1 1 1 1
16 1 2 2 2
16 1 3 3 2
16 1 4 4 2
16 1 5 5 1
16 1 6 6 2
16 1 7 7 0
16 1 8 8 1
16 1 9 9 1
16 1 10 10 2
16 2 1 11 2
16 2 2 12 3
16 2 3 13 3
16 2 4 14 2
16 2 5 15 1
16 2 6 16 1
16 2 7 17 2
16 2 8 18 2
16 2 9 19 3
16 2 10 20 1
16 3 1 21 1
16 3 2 22 1
16 3 3 23 2
16 3 4 24 2
16 3 5 25 1
16 3 6 26 2
16 3 7 27 2
16 3 8 28 2
16 3 9 29 2
16 3 10 30 1
16 4 1 31 1
16 4 2 32 2
16 4 3 33 0
16 4 4 34 1
16 4 5 35 2
16 4 6 36 1
16 4 7 37 1
16 4 8 38 1
16 4 9 39 1
16 4 10 40 0
16 5 1 41 1
16 5 2 42 1
16 5 3 43 2
16 5 4 44 2
16 5 5 45 1
16 5 6 46 2
16 5 7 47 1
16 5 8 48 2
16 5 9 49 2
16 5 10 50 2
16 6 1 51 3
16 6 2 52 1
16 6 3 53 3
16 6 4 54 2
16 6 5 55 2
16 6 6 56 2
16 6 7 57 2
16 6 8 58 2
16 6 9 59 0
16 6 10 60 1
16 7 1 61 2
16 7 2 62 2
16 7 3 63 1
16 7 4 64 1
16 7 5 65 2
16 7 6 66 1
16 7 7 67 2
16 7 8 68 0
16 7 9 69 1
16 7 10 70 1
17 1 1 1 1
17 1 2 2 1
17 1 3 3 2
17 1 4 4 2
17 1 5 5 2
17 1 6 6 1
17 1 7 7 1
17 1 8 8 2
17 1 9 9 2
17 1 10 10 2
17 2 1 11 3
17 2 2 12 3
17 2 3 13 2
17 2 4 14 2
17 2 5 15 2
17 2 6 16 2
17 2 7 17 2
17 2 8 18 2
17 2 9 19 3
17 2 10 20 3
17 3 1 21 2
17 3 2 22 2
17 3 3 23 3
17 3 4 24 2
17 3 5 25 2
17 3 6 26 1
17 3 7 27 2
17 3 8 28 2
17 3 9 29 2
17 3 10 30 2
17 4 1 31 2
17 4 2 32 2
17 4 3 33 2
17 4 4 34 2
17 4 5 35 3
17 4 6 36 2
17 4 7 37 2
17 4 8 38 2
17 4 9 39 2
17 4 10 40 2
17 5 1 41 2
17 5 2 42 2
17 5 3 43 3
17 5 4 44 3
17 5 5 45 3
17 5 6 46 3
17 5 7 47 2
17 5 8 48 2
17 5 9 49 3
17 5 10 50 3
17 6 1 51 2
17 6 2 52 2
17 6 3 53 2
17 6 4 54 3
17 6 5 55 0
17 6 6 56 2
17 6 7 57 2
17 6 8 58 1
17 6 9 59 2
17 6 10 60 1
17 7 1 61 3
17 7 2 62 1
17 7 3 63 0
17 7 4 64 1
17 7 5 65 2
17 7 6 66 1
17 7 7 67 2
17 7 8 68 2
17 7 9 69 1
17 7 10 70 2
18 1 1 1 3
18 1 2 2 4
18 1 3 3 3
18 1 4 4 4
18 1 5 5 3
18 1 6 6 3
18 1 7 7 2
18 1 8 8 2
18 1 9 9 3
18 1 10 10 4
18 2 1 11 2
18 2 2 12 2
18 2 3 13 1
18 2 4 14 2
18 2 5 15 2
18 2 6 16 2
18 2 7 17 2
18 2 8 18 2
18 2 9 19 2
18 2 10 20 2
18 3 1 21 3
18 3 2 22 1
18 3 3 23 2
18 3 4 24 2
18 3 5 25 2
18 3 6 26 2
18 3 7 27 3
18 3 8 28 3
18 3 9 29 3
18 3 10 30 3
18 4 1 31 3
18 4 2 32 2
18 4 3 33 2
18 4 4 34 3
18 4 5 35 2
18 4 6 36 1
18 4 7 37 2
18 4 8 38 3
18 4 9 39 2
18 4 10 40 3
18 5 1 41 3
18 5 2 42 2
18 5 3 43 2
18 5 4 44 3
18 5 5 45 3
18 5 6 46 3
18 5 7 47 2
18 5 8 48 2
18 5 9 49 3
18 5 10 50 3
18 6 1 51 4
18 6 2 52 2
18 6 3 53 2
18 6 4 54 3
18 6 5 55 3
18 6 6 56 2
18 6 7 57 3
18 6 8 58 2
18 6 9 59 2
18 6 10 60 3
18 7 1 61 3
18 7 2 62 3
18 7 3 63 2
18 7 4 64 4
18 7 5 65 3
18 7 6 66 2
18 7 7 67 3
18 7 8 68 2
18 7 9 69 2
18 7 10 70 3
19 1 1 1 2
19 1 2 2 3
19 1 3 3 2
19 1 4 4 0
19 1 5 5 1
19 1 6 6 2
19 1 7 7 3
19 1 8 8 2
19 1 9 9 2
19 1 10 10 1
19 2 1 11 1
19 2 2 12 1
19 2 3 13 3
19 2 4 14 2
19 2 5 15 2
19 2 6 16 3
19 2 7 17 1
19 2 8 18 2
19 2 9 19 2
19 2 10 20 1
19 3 1 21 1
19 3 2 22 2
19 3 3 23 2
19 3 4 24 2
19 3 5 25 1
19 3 6 26 0
19 3 7 27 2
19 3 8 28 2
19 3 9 29 2
19 3 10 30 1
19 4 1 31 1
19 4 2 32 2
19 4 3 33 1
19 4 4 34 1
19 4 5 35 3
19 4 6 36 3
19 4 7 37 1
19 4 8 38 2
19 4 9 39 1
19 4 10 40 2
19 5 1 41 2
19 5 2 42 2
19 5 3 43 2
19 5 4 44 1
19 5 5 45 2
19 5 6 46 3
19 5 7 47 2
19 5 8 48 2
19 5 9 49 1
19 5 10 50 2
19 6 1 51 2
19 6 2 52 2
19 6 3 53 3
19 6 4 54 1
19 6 5 55 3
19 6 6 56 2
19 6 7 57 1
19 6 8 58 2
19 6 9 59 2
19 6 10 60 2
19 7 1 61 1
19 7 2 62 2
19 7 3 63 0
19 7 4 64 2
19 7 5 65 2
19 7 6 66 2
19 7 7 67 2
19 7 8 68 2
19 7 9 69 2
19 7 10 70 2
20 1 1 1 1
20 1 2 2 2
20 1 3 3 3
20 1 4 4 2
20 1 5 5 2
20 1 6 6 2
20 1 7 7 2
20 1 8 8 2
20 1 9 9 2
20 1 10 10 2
20 2 1 11 2
20 2 2 12 2
20 2 3 13 2
20 2 4 14 3
20 2 5 15 2
20 2 6 16 3
20 2 7 17 4
20 2 8 18 3
20 2 9 19 2
20 2 10 20 1
20 3 1 21 2
20 3 2 22 3
20 3 3 23 3
20 3 4 24 1
20 3 5 25 1
20 3 6 26 2
20 3 7 27 3
20 3 8 28 3
20 3 9 29 3
20 3 10 30 1
20 4 1 31 1
20 4 2 32 1
20 4 3 33 2
20 4 4 34 3
20 4 5 35 2
20 4 6 36 1
20 4 7 37 3
20 4 8 38 2
20 4 9 39 3
20 4 10 40 2
20 5 1 41 3
20 5 2 42 2
20 5 3 43 2
20 5 4 44 1
20 5 5 45 2
20 5 6 46 2
20 5 7 47 2
20 5 8 48 2
20 5 9 49 2
20 5 10 50 2
20 6 1 51 2
20 6 2 52 2
20 6 3 53 1
20 6 4 54 3
20 6 5 55 3
20 6 6 56 2
20 6 7 57 2
20 6 8 58 2
20 6 9 59 2
20 6 10 60 2
20 7 1 61 1
20 7 2 62 3
20 7 3 63 2
20 7 4 64 1
20 7 5 65 3
20 7 6 66 2
